'pintura'                        | n= 50-> 50 | ANTES: Spray Removedor Pintura + Color               | DESPUES: Pintura Cielo Transition Cubeta Lanco <<<< CAMBIO
'cemento'                        | n= 50-> 50 | ANTES: Quita cementos y limpia juntas MPL 1 litro    | DESPUES: Quita cementos y limpia juntas MPL 1 litro
'cemento gris'                   | n= 11-> 11 | ANTES: Cemento Gris Por Kilo                         | DESPUES: Cemento Gris Por Kilo
'varilla 3/8'                    | n=  4->  4 | ANTES: Varilla retorcida hierro forjado 3/8"         | DESPUES: Varilla retorcida hierro forjado 3/8"
'block de cemento'               | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'arena para construccion'        | n=  6->  6 | ANTES: Arena industrial en saco 30 kg                | DESPUES: Arena industrial en saco 30 kg
'holcim'                         | n=  2->  2 | ANTES: Holcim - cemento fuerte saco 50 kg            | DESPUES: Holcim - cemento fuerte saco 50 kg
'malla electrosoldada'           | n=  2->  2 | ANTES: Malla electrosoldada calibre 4,11 mm 2,2 x 6  | DESPUES: Malla electrosoldada calibre 4,11 mm 2,2 x 6 
'cemento 50 kg'                  | n=  2->  2 | ANTES: Holcim - cemento fuerte saco 50 kg            | DESPUES: Holcim - cemento fuerte saco 50 kg
'bloque'                         | n= 31-> 31 | ANTES: Bloque De Aluminio 300 Mm Para Anclaje Latera | DESPUES: Bloque De Aluminio 300 Mm Para Anclaje Latera
'concreto premezclado'           | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'manguera de jardin'             | n= 24-> 24 | ANTES: Manguera de jardín bicapa 10 m 1/2"           | DESPUES: Manguera de jardín bicapa 10 m 1/2"
'tijeras de podar'               | n= 21-> 21 | ANTES: HO-Tijeras telescopicas para podar            | DESPUES: Tijeras de podar de paso <<<< CAMBIO
'fertilizante'                   | n= 31-> 31 | ANTES: Fertilizante fórmula completa                 | DESPUES: Fertilizante fórmula completa
'cortacesped'                    | n=  4->  4 | ANTES: Cortacésped inalámbrico 18 V Einhell          | DESPUES: Cortacésped y Cortasetos Inalámbrico HOTECHE  <<<< CAMBIO
'manguera 15 metros'             | n= 16-> 16 | ANTES: Manguera En Espiral Pe Con Acople Rapido (15  | DESPUES: Manguera En Espiral Pe Con Acople Rapido (15 
'carretillo'                     | n= 22-> 22 | ANTES: Carretillo Ninos Truper                       | DESPUES: Carretillo Ninos Truper
'pala de jardineria'             | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'tierra abonada'                 | n=  2->  2 | ANTES: Tierra abonada 30 kg                          | DESPUES: Tierra abonada 30 kg
'macetas'                        | n= 50-> 50 | ANTES: Maceta colgante terracota                     | DESPUES: Maceta colgante terracota
'guantes de jardineria'          | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'tornillo'                       | n= 50-> 50 | ANTES: Tornillo Gypsum Negro #6X25mm. Caja De 1000 P | DESPUES: Tornillo Gypsum Negro #6X25mm. Caja De 1000 P
'tornillo para madera'           | n= 45-> 45 | ANTES: Tornillo Para Madera Espesores 18-22Mm Especi | DESPUES: Tornillo Para Madera Espesores 18-22Mm Especi
'tornillo 1/4 x 2'               | n= 25-> 25 | ANTES: Tornillo tirafondo 1/4 x 2" 5 uds             | DESPUES: Tornillo tirafondo 1/4 x 2" 5 uds
'clavo'                          | n= 50-> 50 | ANTES: Clavo De Tiro Con Rosca  M8 . Caja De 100 (M8 | DESPUES: Clavo De Tiro Con Rosca  M8 . Caja De 100 (M8
'tuerca hexagonal'               | n= 41-> 41 | ANTES: Tuerca hexagonal milimétrica 6 x 1            | DESPUES: Tuerca hexagonal milimétrica 6 x 1
'perno'                          | n= 50-> 50 | ANTES: Perno Acero Inoxidable 316 Dia. 30X38mm. (C-3 | DESPUES: Perno Acero Inoxidable 316 Dia. 30X38mm. (C-3
'tornillo autorroscante'         | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'arandela'                       | n= 28-> 28 | ANTES: Arandela plana 1" 3 uds                       | DESPUES: Arandela plana 1" 3 uds
'tornillos numero 8'             | n= 50-> 50 | ANTES: Tornillo para madera #8 1" 30 uds             | DESPUES: Tornillo para madera #8 1" 30 uds
'torniyo'                        | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'casco de seguridad'             | n= 21-> 21 | ANTES: Casco de Seguridad                            | DESPUES: Casco de Seguridad
'guantes de trabajo'             | n=  9->  9 | ANTES: Guante de trabajo alto rendimiento cuero sint | DESPUES: Guante de trabajo alto rendimiento cuero sint
'lentes de seguridad'            | n= 29-> 29 | ANTES: Lente de seguridad contra impactos transparen | DESPUES: Lentes de seguridad transparente antirrayadur <<<< CAMBIO
'chaleco reflectivo'             | n=  3->  3 | ANTES: Chaleco Reflectivo De Seguridad Color Amarill | DESPUES: Chaleco Reflectivo De Seguridad Color Amarill
'arnes de seguridad'             | n= 14-> 14 | ANTES: Arnes De Seguridad Anticaidas                 | DESPUES: Arnes De Seguridad Anticaidas
'botas de seguridad'             | n= 38-> 38 | ANTES: Bota de seguridad talla 44 Rocklander         | DESPUES: Botas de seguridad US 41 café punta composite <<<< CAMBIO
'mascarilla n95'                 | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'tapones para oidos'             | n=  4->  4 | ANTES: Caja 50 Pares - Tapones De Oido De Silicona C | DESPUES: Caja 50 Pares - Tapones De Oido De Silicona C
'extintor'                       | n=  9->  9 | ANTES: Rótulo: "Extintor"                            | DESPUES: Extintor recargable ABC 20 lb (9 kg) <<<< CAMBIO
'señalizacion'                   | n= 50-> 50 | ANTES: Rollo cinta de señalización 66 m rojo y blanc | DESPUES: Rollo cinta de señalización 66 m rojo y blanc
'candado'                        | n= 50-> 50 | ANTES: TOTAL CANDADO BRONCE 70MM TLK32702 (40000961) | DESPUES: TOTAL CANDADO BRONCE 70MM TLK32702 (40000961)
'cerradura de pomo'              | n= 19-> 19 | ANTES: Pomo cerradura pestillo Bilbao negro mate     | DESPUES: Cerradura De Pomo Llave Un Lado Pestillo Del  <<<< CAMBIO
'bisagra'                        | n= 50-> 50 | ANTES: BISAGRA ACERO INOX.                           | DESPUES: BISAGRA ACERO INOX.
'cinta metrica 5 metros'         | n= 13-> 13 | ANTES: Cinta métrica 3/4" x 5 m                      | DESPUES: Cinta métrica 3/4" x 5 m
'silicon'                        | n= 50-> 50 | ANTES: Pistola de Silicon 80W                        | DESPUES: Silicón antihongos 280 ml transparente <<<< CAMBIO
'pegamento epoxico'              | n=  2->  2 | ANTES: Loctite - Epoxi-Mil adhesivo epóxico 150 g gr | DESPUES: Loctite - Epoxi-Mil adhesivo epóxico 150 g gr
'abrazadera'                     | n= 50-> 50 | ANTES: Abrazadera u redonda 1/4 x 1  x 2 "           | DESPUES: Abrazadera u redonda 1/4 x 1  x 2 "
'gancho para pared'              | n=  6->  6 | ANTES: Ganchos Para Pared Con Perforación            | DESPUES: Ganchos Para Pared Con Perforación
'cadena galvanizada'             | n=  5->  5 | ANTES: Cadena galvanizada 5/16" G30 soporta hasta 12 | DESPUES: Cadena galvanizada 5/16" G30 soporta hasta 12
'stanley'                        | n= 50-> 50 | ANTES: Filtro Aspiradora Stanley                     | DESPUES: STANLEY LLAVE COROFIJA ANTIDESLIZANTE 25MM  S <<<< CAMBIO
'porcelanato'                    | n= 50-> 50 | ANTES: Cortadora Porcelanato Rubi                    | DESPUES: Porcelanato cuadrado Feroe gris 2,0 m² <<<< CAMBIO
'ceramica para piso'             | n= 50-> 50 | ANTES: Ceramica 51x51 cm Nevado blanca 2.08m2        | DESPUES: Ceramica 51x51 cm Nevado blanca 2.08m2
'rodapie'                        | n= 50-> 50 | ANTES: Rodapié WPC 8 x 290 cm gris                   | DESPUES: Rodapié WPC 8 x 290 cm gris
'moldura'                        | n= 50-> 50 | ANTES: Moldura Decorativa Nomastyl #A                | DESPUES: Moldura Decorativa Nomastyl #A
'piso laminado'                  | n= 34-> 34 | ANTES: Espuma para piso laminado 2 mm 1 m ancho (Pre | DESPUES: Piso laminado 6 mm Canadian 3,01 m² <<<< CAMBIO
'cornisa decorativa'             | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'baldosa'                        | n= 10-> 10 | ANTES: Láser De Baldosas                             | DESPUES: Láser De Baldosas
'zocalo'                         | n= 50-> 50 | ANTES: Cerradura Manual Para Puerta Automatica, Para | DESPUES: Cerradura Manual Para Puerta Automatica, Para
'porcelanato 60x60'              | n= 38-> 38 | ANTES: Porcelanato 60 x 60 cm gris 1,44 m²           | DESPUES: Porcelanato 60 x 60 cm gris 1,44 m²
'adhesivo para porcelanato'      | n=  1->  1 | ANTES: SUR MORTERO ADHESIVO PORCELANATO MPI 720 SACO | DESPUES: SUR MORTERO ADHESIVO PORCELANATO MPI 720 SACO
'plomeria'                       | n= 50-> 50 | ANTES: Adaptador para máquina lavaplatos             | DESPUES: Adaptador para máquina lavaplatos
'llave de lavamanos'             | n= 21-> 21 | ANTES: Llave Mezcladora Para Lavamanos Zinc Cromada  | DESPUES: Llave De Lavamanos Individual. Acabado Cromad <<<< CAMBIO
'sifon'                          | n= 50-> 50 | ANTES: Sifón flexible PVC                            | DESPUES: Sifón flexible PVC
'inodoro'                        | n= 50-> 50 | ANTES: Flapper Para Tanque De Inodoro Con Cadena.    | DESPUES: Inodoro Malibú 2 piezas blanco <<<< CAMBIO
'grifo monomando'                | n= 50-> 50 | ANTES: Grifo Monomando De Lavabo                     | DESPUES: Grifo Monomando De Lavabo
'flexible para inodoro'          | n= 23-> 23 | ANTES: Accesorio Inodoro con Brida Flexible 4" Cofle | DESPUES: COFLEX FLANGER P/INODORO FLEXIBLE 4 CORTO PB- <<<< CAMBIO
'destapador de canerias'         | n=  4->  4 | ANTES: Trompo Eléctrico Destapador de Cañerías con C | DESPUES: Trompo Eléctrico Destapador de Cañerías con C
'pega tubo pvc'                  | n=  0->  0 | ANTES: (sin resultados)                              | DESPUES: (sin resultados)
'plomero'                        | n=  1->  1 | ANTES: Llave de plomero Stanley 11"                  | DESPUES: Llave de plomero Stanley 11"
'lavamanos'                      | n= 50-> 50 | ANTES: Lavamanos elba vidrio dorado                  | DESPUES: Lavamanos elba vidrio dorado
'bombillo led'                   | n= 50-> 50 | ANTES: Bombillo Empotrable Dimmeable LED.  4.5 Watt. | DESPUES: Bombillo LED De 20 Watt. 120Volt-60Hz. Base E <<<< CAMBIO
'lampara colgante'               | n= 50-> 50 | ANTES: Lámpara colgante negro vintage 1 luz          | DESPUES: Lámpara colgante negro vintage 1 luz
'bombillo 9 watts'               | n= 16-> 16 | ANTES: Bombillo LED inteligente 9 W E27 A19 RGB VTA+ | DESPUES: Bombillo LED inteligente 9 W E27 A19 RGB VTA+
'panel led'                      | n= 50-> 50 | ANTES: Panel led blanco 54 W                         | DESPUES: Panel led blanco 54 W
'reflector led 50w'              | n=  5->  5 | ANTES: IM1 LAMPARA REFLECTOR LED 50W LUZ AMARILLA 60 | DESPUES: IM1 LAMPARA REFLECTOR LED 50W LUZ AMARILLA 60
'luminaria'                      | n= 26-> 26 | ANTES: Luminaria comercial antipolvo sobreponer 2 lu | DESPUES: Luminaria comercial antipolvo sobreponer 2 lu
'bombilla'                       | n=  1->  1 | ANTES: Bombilla De Repuesto Para Lampara UV YA/T8    | DESPUES: Bombilla De Repuesto Para Lampara UV YA/T8
'sensor de movimiento'           | n= 38-> 38 | ANTES: Lampara Solar Con Sensor De Movimiento        | DESPUES: Sensor  De Movimiento (Unidad). Economico <<<< CAMBIO
'cinta led'                      | n=  6->  6 | ANTES: Cinta led inteligente con control remoto      | DESPUES: Cinta led inteligente con control remoto
'philips'                        | n= 16-> 16 | ANTES: Punta Philips #1 2" Shockwave Milwaukee       | DESPUES: PHILIPS SOPORTE PANTALLA LCD SQM6435/27 (LIQU <<<< CAMBIO
